"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","266","Create file with empty directory","LMS service","Sun Mar 01 09:19:43 UTC 2026","passed","Sun Mar 01 09:19:43 UTC 2026","Validate entity","Files","",""
"","22","Create file with empty filename","LMS service","Sun Mar 01 09:19:42 UTC 2026","passed","Sun Mar 01 09:19:42 UTC 2026","Validate entity","Files","",""
"","21","Get exercises","LMS service","Sun Mar 01 09:19:41 UTC 2026","passed","Sun Mar 01 09:19:41 UTC 2026","Get entities","Exercises","",""
"","13","Get file","LMS service","Sun Mar 01 09:19:42 UTC 2026","passed","Sun Mar 01 09:19:42 UTC 2026","Get entity","Files","",""
"","562","Create user","LMS service","Sun Mar 01 09:19:44 UTC 2026","passed","Sun Mar 01 09:19:45 UTC 2026","Create entity","Users","",""
"","550","Login with correct email and password","LMS service","Sun Mar 01 09:19:36 UTC 2026","passed","Sun Mar 01 09:19:36 UTC 2026","Login","Authentication","",""
"","525","Create user","LMS service","Sun Mar 01 09:19:44 UTC 2026","passed","Sun Mar 01 09:19:44 UTC 2026","Create entity","Users","",""
"","529","Create user","LMS service","Sun Mar 01 09:19:43 UTC 2026","passed","Sun Mar 01 09:19:44 UTC 2026","Create entity","Users","",""
"","31","Get courses","LMS service","Sun Mar 01 09:19:36 UTC 2026","passed","Sun Mar 01 09:19:36 UTC 2026","Get entities","Courses","",""
"","19","Update exercise","LMS service","Sun Mar 01 09:19:39 UTC 2026","passed","Sun Mar 01 09:19:39 UTC 2026","Update entity","Exercises","",""
"","28","Create course","LMS service","Sun Mar 01 09:19:37 UTC 2026","passed","Sun Mar 01 09:19:37 UTC 2026","Create entity","Courses","",""
"","22","Delete exercise","LMS service","Sun Mar 01 09:19:40 UTC 2026","passed","Sun Mar 01 09:19:40 UTC 2026","Delete entity","Exercises","",""
"","33","Update course","LMS service","Sun Mar 01 09:19:37 UTC 2026","passed","Sun Mar 01 09:19:37 UTC 2026","Update entity","Courses","",""
"","265","Get file with incorrect file id","LMS service","Sun Mar 01 09:19:44 UTC 2026","passed","Sun Mar 01 09:19:44 UTC 2026","Validate entity","Files","",""
"","23","Delete file","LMS service","Sun Mar 01 09:19:43 UTC 2026","passed","Sun Mar 01 09:19:43 UTC 2026","Delete entity","Files","",""
"","13","Get user me","LMS service","Sun Mar 01 09:19:45 UTC 2026","passed","Sun Mar 01 09:19:45 UTC 2026","Get entity","Users","",""
"","23","Create exercise","LMS service","Sun Mar 01 09:19:38 UTC 2026","passed","Sun Mar 01 09:19:39 UTC 2026","Create entity","Exercises","",""
"","22","Create file","LMS service","Sun Mar 01 09:19:41 UTC 2026","passed","Sun Mar 01 09:19:41 UTC 2026","Create entity","Files","",""
"","52","Get exercise","LMS service","Sun Mar 01 09:19:40 UTC 2026","passed","Sun Mar 01 09:19:40 UTC 2026","Get entity","Exercises","",""
